,Genre,NA_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Score
0,Racing,15.68,82,73,8.3,709,E,80-90
1,Sports,15.61,80,73,8.0,192,E,70-80
2,Misc,15.0,61,45,6.3,106,E,60-70
3,Platform,14.44,87,80,8.4,594,E,80-90
4,Misc,13.96,58,41,6.6,129,E,50-60
5,Platform,11.28,89,65,8.5,431,E,80-90
6,Racing,9.71,91,64,8.6,464,E,90-100
7,Shooter,9.7,87,89,6.3,1454,M,80-90
8,Action,9.66,97,58,8.1,3711,M,90-100
9,Action,9.43,95,80,9.0,1588,M,90-100
10,Shooter,9.04,88,81,3.4,8713,M,80-90
11,Sports,9.01,80,33,7.4,52,E,70-80
12,Sports,8.92,80,63,7.7,146,E,70-80
13,Shooter,8.52,94,100,6.3,2698,M,90-100
14,Action,8.41,95,62,8.7,730,M,90-100
15,Shooter,8.25,83,73,4.8,2256,M,80-90
16,Shooter,7.97,94,86,7.8,4100,M,90-100
17,Shooter,7.04,91,99,7.9,2045,M,90-100
18,Action,7.02,97,50,8.2,3994,M,90-100
19,Action,6.99,97,56,8.5,664,M,90-100
20,Racing,6.85,95,54,8.4,314,E,90-100
21,Shooter,6.82,95,91,8.2,1218,M,90-100
22,Action,6.76,98,86,7.9,2951,M,90-100
23,Shooter,6.73,73,29,2.6,2117,M,70-80
24,Shooter,6.65,87,87,7.0,3260,M,80-90
25,Fighting,6.62,93,81,8.9,1662,T,90-100
26,Platform,6.06,97,73,8.9,2147,E,90-100
27,Shooter,5.99,88,58,6.4,1094,M,80-90
28,Misc,5.95,74,15,7.8,16,E10+,70-80
29,Shooter,5.93,94,70,8.4,1320,M,90-100
30,Misc,5.8,74,24,7.3,24,E10+,70-80
31,Shooter,5.54,88,39,3.2,5234,M,80-90
32,Role-Playing,5.05,96,89,8.4,3589,M,90-100
33,Racing,5.03,85,73,8.2,632,E,80-90
34,Shooter,4.99,83,21,5.3,922,M,80-90
35,Shooter,4.99,94,67,6.3,2073,M,90-100
36,Shooter,4.98,97,68,8.6,1283,M,90-100
37,Platform,4.89,90,82,8.4,921,E,80-90
38,Shooter,4.81,84,84,7.6,580,M,80-90
39,Action,4.76,98,64,7.5,2833,M,90-100
40,Misc,4.74,77,58,7.9,50,E,70-80
41,Shooter,4.46,84,57,7.4,2142,M,80-90
42,Fighting,4.41,92,38,9.1,568,T,90-100
43,Misc,4.4,72,27,7.8,85,E,70-80
44,Shooter,4.34,83,94,7.1,1163,M,80-90
45,Sports,4.18,91,30,7.9,78,E,90-100
46,Shooter,4.15,93,90,7.7,2739,M,90-100
47,Shooter,4.1,71,10,2.6,1047,M,70-80
48,Misc,4.05,74,10,7.3,28,E10+,70-80
49,Shooter,4.05,91,96,7.8,1504,M,90-100
50,Shooter,4.03,96,24,9.1,3161,M,90-100
51,Racing,4.02,96,16,8.7,138,E,90-100
52,Platform,4.01,92,61,8.6,439,E,90-100
53,Sports,3.98,88,29,8.0,121,E,80-90
54,Action,3.96,97,66,8.3,2899,M,90-100
55,Sports,3.92,73,51,7.4,95,E10+,70-80
56,Racing,3.88,93,23,9.0,135,T,90-100
57,Misc,3.81,92,69,8.5,112,T,90-100
58,Misc,3.74,62,41,6.3,190,E,60-70
59,Action,3.74,95,73,9.0,1658,T,90-100
60,Action,3.7,95,96,9.0,2316,M,90-100
61,Platform,3.68,91,12,8.9,432,E,90-100
62,Platform,3.66,78,70,7.2,424,E,70-80
63,Role-Playing,3.64,85,46,8.8,597,E,80-90
64,Sports,3.63,84,29,8.2,39,E,80-90
65,Role-Playing,3.59,80,88,6.5,604,M,70-80
66,Action,3.57,80,17,8.9,62,E10+,70-80
67,Platform,3.56,97,87,9.1,1854,E,90-100
68,Shooter,3.54,94,88,8.3,2295,M,90-100
69,Misc,3.49,82,24,8.2,46,T,80-90
70,Misc,3.48,49,21,8.0,110,E10+,40-50
71,Puzzle,3.43,77,37,7.1,19,E,70-80
72,Sports,3.42,92,18,9.2,69,T,90-100
73,Role-Playing,3.4,93,84,8.5,1655,M,90-100
74,Sports,3.36,95,25,7.7,65,E,90-100
75,Adventure,3.28,81,77,7.7,1074,M,80-90
76,Racing,3.27,85,33,8.6,171,E,80-90
77,Fighting,3.27,96,15,9.1,367,T,90-100
78,Action,3.27,96,105,8.8,5187,T,90-100
79,Shooter,3.22,81,53,5.4,898,M,80-90
80,Misc,3.19,85,69,7.9,165,T,80-90
81,Action,3.18,94,20,9.4,918,M,90-100
82,Platform,3.17,87,77,8.6,368,E,80-90
83,Racing,3.15,88,82,9.1,1599,E,80-90
